rank,island_id,faces,summed_uv_area,min_u,min_v,max_u,max_v
0,0,1,0.16000000476837162,0.0,0.0,0.4000000059604645,0.4000000059604645
1,1,1,0.15999998092651424,0.6000000238418579,0.6000000238418579,1.0,1.0
