rank,island_id,faces,summed_uv_area,min_u,min_v,max_u,max_v
0,635,47608,0.016484200954437256,0.764404296875,0.570068359375,0.905029296875,0.72900390625
1,982,30282,0.0052391886711120605,0.568115234375,0.773681640625,0.6435546875,0.87646484375
2,224,28922,0.004324406385421753,0.753173828125,0.312744140625,0.833984375,0.38818359375
3,737,23974,0.003418952226638794,0.9013671875,0.414306640625,0.9775390625,0.494140625
4,498,20474,0.0031473934650421143,0.918701171875,0.51513671875,0.98583984375,0.6220703125
5,85,18887,0.0034017562866210938,0.720703125,0.44775390625,0.8154296875,0.500244140625
6,452,18732,0.005582183599472046,0.567626953125,0.49267578125,0.64599609375,0.60791015625
7,183,18204,0.0029031336307525635,0.786376953125,0.263916015625,0.861572265625,0.309814453125
8,597,17192,0.006465047597885132,0.625732421875,0.456298828125,0.7373046875,0.56005859375
9,463,16462,0.006220996379852295,0.827392578125,0.7060546875,0.968017578125,0.7802734375
10,562,14983,0.006418436765670776,0.688232421875,0.51806640625,0.784912109375,0.650634765625
11,373,14587,0.006010323762893677,0.8916015625,0.572021484375,0.968017578125,0.720947265625
12,476,14097,0.004310637712478638,0.728515625,0.660400390625,0.81982421875,0.779296875
13,669,14017,0.002385437488555908,0.592529296875,0.31640625,0.672119140625,0.365234375
14,347,13806,0.006031900644302368,0.840576171875,0.782470703125,0.95703125,0.865478515625
15,403,13417,0.0036351382732391357,0.630859375,0.540283203125,0.703857421875,0.64697265625
16,282,13079,0.008809447288513184,0.697021484375,0.772216796875,0.837158203125,0.87890625
17,664,12592,0.0023392438888549805,0.322021484375,0.728759765625,0.38623046875,0.784912109375
18,464,11944,0.003865361213684082,0.837646484375,0.298095703125,0.915283203125,0.374267578125
19,759,11804,0.0032300949096679688,0.607666015625,0.402099609375,0.698486328125,0.45556640625
20,28,11704,0.0018664002418518066,0.70947265625,0.4013671875,0.795166015625,0.446044921875
21,268,11391,0.003914207220077515,0.765380859375,0.513916015625,0.89404296875,0.571533203125
22,686,11384,0.0036408603191375732,0.44775390625,0.775390625,0.517578125,0.876708984375
23,757,11369,0.003538191318511963,0.382568359375,0.7998046875,0.45263671875,0.877685546875
24,925,11093,0.0036161839962005615,0.43994140625,0.548828125,0.5009765625,0.639404296875
25,215,10776,0.00406801700592041,0.550537109375,0.6044921875,0.620361328125,0.710693359375
26,346,10606,0.0029908716678619385,0.903564453125,0.346435546875,0.984619140625,0.40234375
27,222,10310,0.0034399330615997314,0.68896484375,0.670654296875,0.736328125,0.792236328125
28,422,10269,0.0037977397441864014,0.424560546875,0.64404296875,0.4951171875,0.72509765625
29,335,9499,0.002482891082763672,0.6083984375,0.228271484375,0.677490234375,0.282470703125
30,395,9343,0.0039739906787872314,0.8173828125,0.4560546875,0.917236328125,0.510498046875
31,643,8265,0.0020497143268585205,0.37255859375,0.46533203125,0.422119140625,0.540771484375
32,1073,8263,0.0021129846572875977,0.448974609375,0.34716796875,0.498046875,0.42822265625
33,683,8148,0.0023026764392852783,0.4775390625,0.464111328125,0.553955078125,0.55517578125
34,501,8012,0.0019693970680236816,0.409423828125,0.5107421875,0.454345703125,0.594970703125
35,36,7662,0.0011439025402069092,0.2607421875,0.698974609375,0.292724609375,0.755859375
36,596,7509,0.0031458139419555664,0.3349609375,0.408935546875,0.40576171875,0.4873046875
37,118,7350,0.002612888813018799,0.507080078125,0.3076171875,0.58447265625,0.355712890625
38,283,7302,0.001323014497756958,0.177490234375,0.07666015625,0.22119140625,0.124755859375
